"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
1,0.5,0.2,0.5,0.4,-0.2,1.3970628998275,0.389361566651033,0.42732799219667,0.378465940865237,0.425222382983257,-0.127646217250262,0.107147010420023,0.0858192607395021,0.0708119093239302,0.067993135193244,0.0566612141244487,0.021694671717493,0.158931970180855,0.131560613444389,0.0970292011356005,0.171718004092285,0.167417009564867,1.2487411691287
1,0.5,0.2,0.5,0.4,-0.2,1.10860579402835,0.403348704638389,0.193852085945968,1.3309437210158,0.640027309196431,1.52306693686949,0.0771160880987006,0.0463596179434625,0.0333034669525977,0.147443275042571,0.0852470154355829,0.079441809892367,0.126760154735167,0.0832259659247926,0.0391694410547159,0.331914668083159,0.198091647759859,0.228188904040456
1,0.5,0.2,0.5,0.4,-0.2,1.01523121779076,0.521083386962435,0.356624931770358,0.99758296926967,0.234871402093774,0.862812485421778,0.0617033868155512,0.0706380127682216,0.0441421844302674,0.0639889969171717,0.0952179641745604,0.0467029619717637,0.118307852906011,0.0992446141853568,0.0995924125820307,0.253681591164578,0.158666121902168,0.427283417549342
1,0.5,0.2,0.5,0.4,-0.2,1.33876455145663,0.110985571139734,0.193799137425472,0.2466378135817,0.563488667965887,-0.0505305553721336,0.128064010031574,0.0806472016174547,0.0707105649455612,0.0538578951621281,0.0322586122314775,0.0098544713797838,0.209088924293126,0.184724373246767,0.105066081199882,0.170195511974793,0.143720597693484,1.01321025468964
1,0.5,0.2,0.5,0.4,-0.2,1.00590844247235,0.796531979546717,0.218234372209175,0.220661921590303,0.222607193568013,-0.0306857958539492,0.139663870226496,0.135060782588001,0.10822533383549,0.0770942426689633,0.0707614627337096,0.0972905839551982,0.194075335357833,0.225234659871135,0.212963393960856,0.253038037107591,0.227245430799257,1.31323913757099
1,0.5,0.2,0.5,0.4,-0.2,0.893337850830537,0.537810980582067,0.213933287660918,0.44084655881925,0.524126161661755,-0.114437006305694,0.129327218960622,0.111830138483289,0.087681922314848,0.0841766175445746,0.0627296778754598,0.457957913274799,0.161798825237318,0.193416569968052,0.104818111686434,0.226225844340669,0.217794071210591,1.33183053084485
1,0.5,0.2,0.5,0.4,-0.2,0.771215629416775,0.797451694978147,0.177949263028797,0.532460100493809,0.237440568787204,-0.917874205512457,0.0807094053680619,0.0634253566698099,0.0378342190187866,0.0421928772098455,0.0327614046928664,0.176129858583407,0.119436981408298,0.127755751470559,0.10648344618095,0.163653466872087,0.168190880969339,1.13345814237995
1,0.5,0.2,0.5,0.4,-0.2,1.02758720885702,0.259644388473927,0.098275037730062,0.508516029094184,0.621304039351378,-0.173091984452837,0.102413765514637,0.101267510222327,0.0574893198378351,0.0588201831903103,0.0887840065587718,0.169769805420191,0.152781390143436,0.128274359448417,0.0605352599224716,0.248726234493917,0.180962452052155,2.12533570725088
1,0.5,0.2,0.5,0.4,-0.2,1.11955800154306,0.433955288623886,0.167806874760621,0.739968131213607,0.176112339281663,0.851304287899155,0.0809384016123293,0.0732799831008551,0.0740761569594615,0.0964701041214923,0.0917404965812244,0.120930462273756,0.125655830164156,0.103127015605426,0.0790358991447389,0.258917744867917,0.191509553890428,0.532737736106349
1,0.5,0.2,0.5,0.4,-0.2,1.32599093308585,0.0804607111037161,0.321091881244335,0.682499584172578,0.477287519668264,-0.0597280101955663,0.0739905511721751,0.0843743137697726,0.0540263915234919,0.0441875346757007,0.0741140832209527,0.141840274357286,0.122828043023846,0.121249394987083,0.0673311792751044,0.16831781849423,0.150384811876987,1.15154810970662
1,0.5,0.2,0.5,0.4,-0.2,1.07345130198329,0.461815771698896,0.217475084097963,0.351875314347368,0.446334924439257,-1.89426476825848,0.122412154763138,0.0969740767411766,0.0504832224385438,0.0702499538716909,0.0504324614560777,1.15836301124003,0.154997578136626,0.159750912909249,0.110491239234156,0.161698013376557,0.179567479003933,2.87333085255973
1,0.5,0.2,0.5,0.4,-0.2,1.00523689645458,0.60456640081899,0.121011800940568,0.60577925887182,0.427192846430737,0.0818268198874728,0.0972937679960631,0.080515120975144,0.0367606137573987,0.0286345257248607,0.0310615953304652,0.0277796775233208,0.135416990866041,0.154643698972132,0.0797284782523962,0.23294930332509,0.270892535182275,1.00480939227694
1,0.5,0.2,0.5,0.4,-0.2,0.949545471950748,0.443094354652163,0.303261423891389,0.584740056173151,0.707577800954201,0.173646842871253,0.115992573339234,0.100390403982143,0.0551214456011899,0.0965006734514074,0.110213984863835,0.375552934186402,0.174450628905872,0.145649475522683,0.0590039942638156,0.217372230929278,0.165201404856424,1.24948651052683
1,0.5,0.2,0.5,0.4,-0.2,1.14352373811151,0.306670507872188,0.302556896663049,0.384349314703226,0.394211967128759,-0.0483144327144842,0.11744836523232,0.0856995496159569,0.0553023054869547,0.0711771126284994,0.0461490575413931,0.0359753910351175,0.15628439531943,0.143734216944978,0.104188903691244,0.188860525045543,0.150990118950951,0.987654589942783
1,0.5,0.2,0.5,0.4,-0.2,0.908485595683991,0.558639519431947,0.116589099790459,0.591353727241528,0.245791273400992,-0.446779615683585,0.0791982384074071,0.0610946342076193,0.0166802601269208,0.0438140347441029,0.0318459196320376,0.00992827715109218,0.115459956599468,0.112922818915614,0.0933244502316034,0.153282616637435,0.143422155276116,0.769771938232416
1,0.5,0.2,0.5,0.4,-0.2,0.929546143302312,0.504408869297262,0.212767444179912,0.574469166228291,0.639737745589442,-0.560883992126207,0.0686035352241433,0.0762563330501073,0.0492025034923406,0.0361518352832864,0.0766757581133866,0.0268151301647074,0.140349278520565,0.106400835857012,0.0620640897112969,0.149446903161087,0.123525755626387,1.24978726585707
1,0.5,0.2,0.5,0.4,-0.2,1.07627655046606,0.562619864465584,0.279577938990039,0.565477990155603,0.223848004239351,-2.00800742553385,0.0559523296743763,0.0354706658046348,0.0165388840826406,0.0113817252387722,0.0092260943247826,0.104969922736211,0.11590324395556,0.113116030352704,0.0936399930677179,0.154933743082424,0.141715353026724,2.8930356200405
1,0.5,0.2,0.5,0.4,-0.2,1.20853479669742,0.257234814679254,0.116553057145957,1.18989988058455,0.377304240879916,1.30443780048844,0.0711402799623395,0.0720583955822242,0.0468327823054073,0.12414954096409,0.131626454844473,0.0718496582508748,0.100351953308387,0.0837004885674508,0.0549379356358084,0.254420781762866,0.174497984089444,0.295811016450641
1,0.5,0.2,0.5,0.4,-0.2,1.02199194867691,0.64052663741634,0.465014263943863,0.54749157018143,0.30867490088777,-0.380398763238612,0.0736035079794837,0.0875607119148897,0.0698106081061905,0.0280752036083008,0.048129572347811,0.0817366422116557,0.128761706491568,0.128062511414742,0.099378577939188,0.15377574885441,0.143460468539994,0.921753273467009
